,Actual Valve Position,Predicted Valve Position
100,179.1778564,182.8755576280972
101,177.3709106,182.41061705450224
102,177.6542206,182.17457316275613
103,180.4182587,182.79463940730926
104,179.9792023,183.77676663465212
105,180.3859863,184.63287683078175
106,177.3513641,185.60368921693546
107,180.3520966,186.650175784023
108,178.3572235,187.75233192133717
109,181.1571045,188.90585488426785
110,179.763443,190.03925060077643
111,177.6503143,191.14759525146334
112,182.1935425,192.22828220800952
113,179.8903961,193.27760433320924
114,183.0692902,194.29738142175955
115,181.1333008,195.28135264318482
116,181.9963074,196.22726029416685
117,179.7268066,197.1349157285847
118,181.5096588,198.0045008553093
119,181.2194214,198.8374332568282
120,179.8286743,199.6345836195575
121,181.35112,200.3968874667896
122,181.1799316,201.12555594874658
123,182.7371826,201.8218354842581
