,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,178.47241,177.56761,178.65892,177.93857,175.51064,177.29466,175.58882,175.58882,176.27075,176.41165,175.80804,176.1019,177.17427,174.78339,173.49612,175.46698,174.13887,177.99426,175.93811,177.42915,176.41376,176.40776,176.0954,175.5275
1,270.98535,272.61435,270.84103,264.38422,254.11194,242.94846,236.56789,229.11092,227.19646,225.0191,217.06226,217.03265,216.06972,220.5678,224.25269,222.11163,215.21715,211.73685,218.64102,212.46078,222.18532,222.21565,216.67094,205.30724
2,289.97595,277.508,269.26236,255.96977,241.86595,228.28989,215.97403,209.67863,198.7475,203.7138,204.19525,192.2346,201.79614,210.23273,209.40201,220.58043,232.53558,240.25787,245.80875,258.41934,256.02036,271.33664,278.16998,277.58163
3,177.8407,175.54086,174.86989,177.28741,177.04482,175.20287,179.31831,174.52667,176.46744,174.19739,176.37762,177.31732,175.78932,177.76024,177.41156,175.27562,176.4416,175.82225,176.10394,177.31508,174.22371,176.60661,175.38777,176.14621
4,181.35033,177.05458,180.85469,178.94638,181.76158,181.95703,180.54845,182.09094,180.86766,180.55212,180.17822,178.07399,180.056,181.73625,177.7992,180.62679,181.21806,182.316,181.73961,180.88783,181.76486,180.42892,181.36415,180.55653
5,421.92233,424.37762,424.01895,424.9551,422.2554,435.674,446.11948,458.1744,463.71014,461.15195,448.24762,427.21075,393.70517,346.7593,303.53583,260.36575,230.39221,216.38737,216.49156,216.88359,230.21999,238.26634,254.31342,279.75507
6,180.1003,180.56221,180.63927,178.91266,181.88437,180.17534,180.0866,181.83337,180.12907,181.7138,181.80702,178.34987,181.44627,181.3495,180.32967,181.18588,180.2383,180.5635,180.9693,178.5773,181.9216,180.66339,179.96013,181.34088
7,231.83025,213.86089,189.99207,183.5114,183.08585,180.12445,183.40166,181.54277,178.67467,180.69455,180.93405,182.04472,181.35938,181.01086,180.5269,182.40501,178.84169,181.78731,182.87343,183.51514,183.13263,183.46788,181.93724,183.0318
8,179.75739,183.60117,184.58955,178.51755,177.76471,175.72408,177.0511,178.67432,177.28119,174.53157,179.948,176.23996,180.6059,180.21889,179.63573,178.94026,179.56375,177.65033,177.89662,178.74959,178.33214,178.17398,182.15169,178.7515
9,438.89664,435.9364,424.21002,410.5205,411.01096,405.92178,384.13513,389.94955,387.65076,382.70532,388.06168,389.7847,386.53802,387.27933,391.88885,393.029,392.689,393.27264,377.13837,372.05222,381.97815,380.17413,362.1876,361.857
10,198.12375,197.66759,200.15863,198.69507,198.64348,196.0122,185.34828,184.6252,184.0671,182.95505,183.66447,183.41873,183.41118,181.04132,185.23991,186.19925,174.79085,179.39133,191.68123,202.41354,222.5878,242.30045,265.30417,277.2368
11,182.14859,185.21046,181.93854,183.55833,181.96985,180.81274,183.47142,182.0669,181.02187,182.8373,181.81065,182.88367,182.68272,183.28145,181.343,182.5064,182.21477,180.29883,178.37589,181.66008,182.58958,187.095,181.55196,184.80743
12,181.20526,182.24309,181.98648,179.16469,178.87674,178.9983,177.83307,179.31427,178.3907,179.25526,179.44482,179.8155,179.83919,179.4003,180.2391,179.47963,180.24496,180.22934,177.88898,180.11086,178.51495,181.52798,179.42996,179.32312
13,393.76303,402.38675,403.2162,414.32373,413.6732,371.34042,344.63843,345.96414,350.976,352.75775,352.15042,337.0584,326.71844,309.92648,313.46432,299.64206,278.46973,238.86232,211.81276,191.62665,183.11053,182.86397,182.00493,179.23758
14,183.05222,182.9932,184.49387,187.61086,173.65192,178.09375,179.631,176.728,175.0464,178.07886,176.91965,176.37576,176.5132,174.96432,176.75462,175.9859,177.79883,175.01581,177.32979,178.64577,175.1764,174.23508,176.4607,175.76984
15,287.45343,293.12396,295.52936,292.252,298.7419,315.12262,314.3801,327.08075,331.4394,352.55164,366.6338,364.96735,365.3164,368.50015,344.0669,333.6407,321.2357,326.14774,293.63812,274.43558,270.51187,272.7298,273.79468,253.12294
16,178.48056,178.02649,179.00053,179.21495,178.5911,176.54741,179.47258,177.9769,178.78378,178.87767,177.9809,178.79552,179.40092,181.93567,179.43306,179.55237,181.98265,176.38283,178.5162,180.13304,178.93275,179.29987,179.54938,178.89133
17,290.7511,288.44666,289.10858,290.88266,289.79538,286.34906,290.11624,290.5256,289.2529,289.04898,292.5635,307.53937,318.01413,331.5924,338.4976,347.77917,350.56183,357.90952,355.61047,367.54416,370.6901,368.67435,373.43005,360.52676
18,178.81197,179.1167,176.70923,175.54018,175.26747,175.30542,174.24777,172.98239,174.89864,172.5642,174.12318,177.82243,177.66388,180.68542,176.71188,177.66019,180.16347,177.55318,178.56715,178.59085,180.19087,176.84233,178.53035,175.9062
19,174.43214,175.54022,175.15295,177.68881,178.30238,174.60443,178.13829,177.26022,175.94254,176.33879,175.64275,172.80893,177.03972,181.90036,186.07013,186.80531,179.53993,182.2204,177.62462,176.8421,177.73729,179.8372,181.0182,181.84947
20,180.18573,181.3362,182.09224,182.64413,182.35895,181.01521,182.74352,182.00613,180.00383,182.10966,182.80699,182.21469,180.79471,180.41403,181.35818,181.62315,180.144,181.02449,180.98938,180.78943,182.40446,181.00885,180.46698,181.10062
