DateTime_x,Actual airflow,Predicted airflow
2021-07-11 13:25:00,179.5839233,179.99769225985034
2021-07-11 13:30:00,178.6137543,180.8134724801172
2021-07-11 13:35:00,175.954422,182.03202945297846
2021-07-11 13:40:00,177.8710327,183.35238189421938
2021-07-11 13:45:00,180.1782532,185.0072179999119
2021-07-11 13:50:00,179.696701,186.69965625812216
2021-07-11 13:55:00,179.9397888,188.4510677557735
2021-07-11 14:00:00,180.3676605,190.24023067411719
2021-07-11 14:05:00,180.0443726,192.0212922465329
2021-07-11 14:10:00,179.8350677,193.7884465265398
2021-07-11 14:15:00,180.6374207,195.5149722706782
2021-07-11 14:20:00,181.1064606,197.1923966650667
2021-07-11 14:25:00,178.5808563,198.81627893347854
2021-07-11 14:30:00,179.2855225,200.38085941339693
2021-07-11 14:35:00,180.9459229,201.88468774653043
2021-07-11 14:40:00,176.788147,203.32635604167683
2021-07-11 14:45:00,179.3354492,204.7061065326813
2021-07-11 14:50:00,176.6570435,206.02522560196275
2021-07-11 14:55:00,177.1376038,207.28518964152
2021-07-11 15:00:00,177.8303375,208.4879289491414
2021-07-11 15:05:00,178.3629303,209.6355087180698
2021-07-11 15:10:00,178.3494568,210.73012531349778
2021-07-11 15:15:00,177.6448059,211.77404501064052
2021-07-11 15:20:00,177.2568817,212.7694974724424
